"","IC1","IC2","IC3","IC4","IC5","IC6","IC7","IC8","IC9","IC10","IC11","IC12","IC13","IC14","IC15","IC16","IC17","IC18","IC19","IC20","IC21","IC22","IC23","IC24","IC25","IC26","IC27","IC28","IC29","IC30","IC31","IC32","IC33","IC34","IC35","IC36","IC37","IC38","IC39","IC40","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC52","IC53","IC54","IC55","IC56","IC57","IC58","IC59","IC60","IC61","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC70","IC71","IC72","IC73"
"HALLMARK_ADIPOGENESIS",3.27239934992561,1.03870147474768,-1.71934108774878,0.300080354542051,0.0899525434227139,0.432576532885342,-16.5338376324667,2.71686588946428,5.09388410533332,-0.0821612807486829,-0.107998449301988,-0.822462026300895,-5.75815647096115,-4.89877555093708,1.45186580048802,-0.0371937935480627,-3.09701230224293,-0.738514449558207,0.0882981196878785,0.704651805550235,-1.89858699211252,0.0581336531709057,3.23193260596708,-3.50406597208046,-0.631875506589281,-1.21370016617718,0.472997288189017,-2.83700643312438,1.58071894442577,-0.0445202688138263,0.104619342626234,0.188056587679477,0.165514107489774,-0.0655037888052579,-0.531539548507553,-0.496728959950922,-0.753871905611501,0.167819715627196,-0.686212794611464,1.95905593197543,-0.000263663112946234,1.06200819040421,0.454320850382172,0.714798815022153,-0.272952577858623,-1.08464176095733,1.04852807131341,-0.478141116425256,-1.39927722752824,0.00479514388598606,-1.37908431882854,0.390376721258423,-0.507920059632303,-0.202029829223256,-0.184932373772907,0.142682841579436,2.07625303708807,0.323313736698293,0.38190378914345,-0.821464989302717,0.965786220843728,-0.283545145818073,-0.0971270450007249,-0.0711702495655569,-0.204899881769246,-0.809742747391062,1.42251729490475,2.41343841545037,4.9362712574199,0.0496451808993027,0.222400545095893,-0.0157459975270823,0.1057173461711
"HALLMARK_ALLOGRAFT_REJECTION",-0.640410834335824,1.63657966294128,14.8741918354693,0.0204831168774536,1.13697572781422,3.83359445516456,1.02432557878989,0.158768758604713,4.06820325368109,-48.5292938500522,0.357132897223853,-0.0405871539182389,0.339040577923598,-1.57623904898951,-0.798658425562806,-0.125527759913014,-0.209383734384806,0.0305049568453398,2.11027104852804,-0.82884527701783,-0.435011905136111,-0.24503661927771,-1.0213939619606,-0.949979906410866,0.825126051910481,-0.0351301351003173,1.06103881883536,-0.0400277067569346,0.088705787443022,1.36756697622564,-4.147741856555,0.578926204405092,-0.000400729143941405,0.353166495192517,-0.496978317054101,-0.000733856162961118,0.104539196024809,0.466824224129946,1.03816619598615,0.0943058412380503,-0.131183701800181,0.578483001622996,-1.68385061492342,-0.446483344554038,-0.654100025614958,-0.219926284651111,-0.186165027751565,0.350145682783907,0.309884381546352,-0.583662384969698,-0.523152831411729,2.29553826130853,-2.39144035160243,-1.47636083445033,-0.181885030936607,-0.141424712972752,0.0118028542326145,-0.166309599513648,-0.0544188872903875,0.0758369085085767,-0.606421339871115,0.189259036838421,0.0652630472206508,0.383081605237342,0.323207661571567,-2.50237630803582,-0.52161931365311,-0.256895532606051,0.250199775119761,0.210142593595335,0.514061922300583,0.0369839943994878,2.23478345325418
"HALLMARK_ANDROGEN_RESPONSE",0.301788673180044,-0.263781980023049,-0.213717816674001,0.162696615895476,-0.189508505286636,1.65318912091841,-0.285832676887035,0.342301532685977,0.412763907387713,-0.701026817205142,-0.987123685304953,-0.235410079458846,-0.357042603110571,0.368186017886413,-0.520857967604759,0.347817201990896,-0.718332679576512,-0.0305049568453398,-0.0882981196878785,0.0277481746187431,0.164206392647948,-0.240032989543802,-0.00358544369994048,-1.67920112816178,-1.33292866854699,-0.00384377161895522,0.322053416097906,0.610029218575504,1.15577579155843,0.202131579739775,0.044518852871462,-2.70209899763025,0.149402414401286,-0.353166495192517,0.448592742409236,-0.215525986544047,-1.89628019328926,0.824215792702613,0.183446228297707,0.0085621978882961,-0.547389999472412,0.58664689480798,0.436614439315744,-0.0840311708298132,0.900242523456081,0.900568136411057,0.401181185676546,-0.148056656594192,-0.0362388675685703,0.0650372331490584,-0.609096826422483,-0.111349662174596,0.224772583218287,-0.329487094508711,-0.43637856725917,0.922560017605705,-1.65855327559033,0.245174844475752,0.699430692134663,-0.29420860062104,0.584009566004866,-0.189259036838421,0.0727903066056056,1.61718353201762,0.0952484176096259,0.894742766407022,1.1894496716442,0.0916110654829682,4.61752205485793,-0.210142593595335,2.38177771503918,0.0157459975270823,-0.712461993317648
"HALLMARK_ANGIOGENESIS",-1.76607463232317,0.129094505033945,-1.31864870326703,0.0391641025489972,-0.189508505286636,5.08018752606838,-0.290601871857699,0.0476545587390707,1.30841220825151,-0.0424910103731612,0.199216102991887,0.601320054725893,-2.90226314513706,-0.193312797807125,-0.00987483038350422,0.0494713696964383,1.73652056334556,-0.662954397642919,-0.13774631544851,0.153317646705175,0.668419092489741,-0.0634652144129028,-1.2405698301395,-0.323456961145663,-0.724770480780977,-0.106603310358512,-0.64982981960439,-0.0400277067569346,-0.974769733666321,-0.164495182984612,0.755761231079963,0.0108346143832388,-0.0134252947213765,-2.26031520391373,0.147880203894082,0.128858600688542,0.400888169031471,1.18263160387781,-0.0818702351644293,-0.0260084271232211,0.0486959751406234,0.411168056775785,-0.595030110910383,-0.0840311708298132,-0.510600774679746,-0.0897793914351126,-0.896507981932851,-1.43197593400461,-1.40256682345833,-0.41094313180685,-0.051987269788567,-0.553155100896546,-1.368444728999,0.131157321489237,-0.193544010649366,-0.313684269420168,0.0638143381592842,-0.245174844475752,1.0949086629688,-0.030020643553327,0.0211195288420598,-0.0708695758528435,1.11224392383677,1.62747213010212,-0.081610560646881,-0.162736573092646,1.41944802457821,-0.0147921793713644,2.94948458166664,0.43501506945198,0.514061922300583,0.0157459975270823,-0.170821792628852
"HALLMARK_APICAL_JUNCTION",-2.66792339324437,0.811805238664375,-0.508083673424131,0.843282014388433,-0.034018197675499,1.6758919652343,-0.315522775475359,-0.217415040752159,-0.637902637364583,0.00830003347193179,1.02896073916925,0.23166097122709,-0.56085708143553,5.08033168807762,-0.767059756108485,0.367825488828522,2.16856706282699,0.159440710980599,0.876452983936213,-0.0957622333602832,-0.648500033933766,0.665674006156266,-2.78671265504275,-1.06065747447926,-1.54166275221491,-1.85837862416679,-0.472997288189017,0.12674561135843,-0.379010069905317,0.251470496259325,-2.09449286812363,-0.961110560493476,-0.396675404891847,-0.117422841488087,0.0183719372471,0.640075640390722,0.314306197184827,0.0245263778594594,0.307243065638178,0.00368280147525101,-0.644929440313093,-0.0493764471088627,0.046767617890125,0.210538092951303,-2.24738923227824,-1.62607646036399,-0.134280341219671,0.183989772518676,-1.55741022355373,0.0800938743655758,0.6631560142224,0.390376721258423,-0.797372110901381,0.329487094508711,0.113331001505357,0.641158639554275,-0.195278409693442,2.66807080005525,-0.120769504975113,0.821464989302717,-0.473255731912311,0.00561419504050057,1.00193526065166,0.337228665904201,-0.0537481480391935,-4.0780577305957,0.724151982583272,0.209186840054032,0.156626949479758,0.0333209345134476,0.222400545095893,0.0157459975270823,1.37521384415666
"HALLMARK_APICAL_SURFACE",-0.435411806170113,0.370723004932875,-0.706210316645597,0.412491283600549,-0.121347147862772,-0.543947116268159,-7.84317636480904e-05,-0.173668476870853,1.30841220825151,0.0123112453675655,-0.244235904379085,-0.0405871539182389,0.0364381354926737,0.965415585289327,-3.15171396479451,-0.965817107108138,-0.0138970702258937,0.159440710980599,-0.353382536549792,1.27043501576824,0.10776872143223,-0.24503661927771,0.0453322074706986,0.210992919056437,0.096978539060671,-0.226991039564864,0.143513792934301,-0.326326073616461,0.187401000565839,0.220115733741165,0.104619342626234,-0.0108346143832388,-0.484094451601136,-0.244880114523165,-0.109101374036711,-0.102616969150141,-0.422011974941974,-0.521738281966749,-0.189182190413227,0.0485365879965134,-0.131493680998201,0.53155006320533,-0.11276538389201,0.0840311708298132,-1.1544001562905,0.0801123203319883,0.40884097889766,0.0398820061104229,0.226690021303284,0.0421217282141113,0.637740860941833,-0.04562576246369,0.0313416227452764,0.760887106797034,-0.139743252283679,0.350041160771021,-0.0224022073016601,0.692635839104101,0.390968871860792,0.861674876772474,-0.794847996313043,0.0712121637299424,0.671664885620124,0.0451139012370497,0.0447429819735551,-1.25230833269738,-0.0611716485299831,-0.109168983802354,0.721052592562263,0.804879538172097,0.746004462037157,0.0157459975270823,0.596100044430455
"HALLMARK_APOPTOSIS",0.0818195108518355,-1.35728731993155,1.27172310495044,0.109072172420366,-0.0899525434227139,6.18495977509074,0.935071711403037,-0.305525401390959,0.252318049044615,-2.15923879839481,-0.19093051801774,-1.08983888314708,-1.7526302736939,0.111427655155459,-0.917452090794275,-0.608160788629893,0.418950194824282,1.19879185019331,0.0209164546793176,0.624183408656927,0.104947851706236,-0.713893493015803,0.0384703946271076,-2.71017236495623,-0.00812451874140816,-0.378004546000551,0.339409938660358,-1.90133179196252,0.0512523810678888,0.251470496259325,-0.406903604900304,-0.246123733209098,-0.0134252947213765,1.56473644410976,-0.571183448994795,-0.297004400221682,2.41718612965055,0.417570758454804,0.271728268789696,-0.0612434073288403,0.0878355631005647,0.202692664426583,0.046767617890125,0.00494162569866314,-0.821916619388203,0.0173189571663034,0.11669599577653,-0.330579439814103,-0.1831873521769,-0.516964362351119,0.186713070809002,-0.111349662174596,-0.911825013426237,0.202029829223256,-0.140813354066152,-0.0261200190100815,0.0658467466188133,0.721212383431119,0.0490978139452979,-0.068522810568527,0.0211195288420598,0.626256144674877,-0.254612361042727,0.582281266865032,-0.204899881769246,-0.940560154927569,0.728750982039319,0.0694275003138839,1.03585707912658,-0.0496451808993027,1.6052525351271,0.0157459975270823,0.656945897136959
"HALLMARK_BILE_ACID_METABOLISM",3.47358263401477,-0.421472148281038,0.221556296047564,1.19838455233301,0.307164354834708,-1.3066954014294,-5.01118182291521,-0.133222515161789,2.49852142580935,-0.236718488679871,0.00493837226660435,-0.804705775113023,-2.04852480085516,0.590537630022932,0.995373439763891,-0.0371937935480627,-2.22880790987892,-0.128759040733283,-0.876452983936213,-0.0957622333602832,-0.104947851706236,-0.713893493015803,0.164048704115931,-4.97184194505828,0.0435967541648095,0.0351301351003173,0.172790049508938,-0.339058164406719,-0.662011680899878,0.164495182984612,0.660918947026508,0.24773663009119,0.474225248018503,0.122271412540502,-0.531539548507553,-0.352294217444618,-0.987321264163805,0.122808596742842,0.137540134067103,-0.173131486837688,-0.0878355631005647,0.202692664426583,0.595030110910383,-0.0840311708298132,-0.0475089796955039,-1.01000133083907,1.36355035730167,-0.344821816126092,-0.740374138944429,0.082285251610596,0.290164269789685,0.111349662174596,-0.308607085146957,-0.553597273543021,0.287281887117495,0.963446322783917,0.619234680043919,-0.316483197039248,-1.05458354302154,-0.068522810568527,0.0211195288420598,-0.0712121637299424,-1.64454409094274,0.0483582110935261,0.163366945409189,0.162736573092646,1.3110481809594,0.0431527374342149,0.600044033027817,0.0474098484047787,1.00951002839786,0.0157459975270823,-0.272165917796582
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.640410834335824,0.941998455464498,-0.0358970853623216,0.267000784936555,-0.103555192320296,0.868848838902778,0.0451920408328117,-0.305525401390959,-0.133571772132208,-0.223861161441163,-0.988911929889239,0.99706801515887,-2.76629343243139,0.15967195492563,-0.854112378315263,-0.131826507559995,0.209383734384806,-0.0305049568453398,-0.876452983936213,2.26862907466277,-0.284648936126185,-0.425062614598595,-1.0213939619606,-2.70528794620582,-1.77444764385175,-0.456761744841547,-0.0373123699247426,0.00675684254601029,0.0914300296292139,-0.818620771251282,-0.483688381543405,0.0123159621572951,-0.191706871877914,-0.0701842989192602,0.448592742409236,-0.537690527311295,-2.41718612965055,0.0455125605344373,-0.124570080004267,0.49355814832175,-2.38546703852529,1.21212168267225,0.796458630401917,-0.0925597432706414,0.103136891069785,-0.0897793914351126,0.385760357158457,-1.16406414046703,-3.73343887729791,0.0800938743655758,0.41044802924742,0.0126395029054498,-0.911825013426237,-0.297317488062033,0.0506291429457317,-0.313684269420168,0.0353364121751804,-1.23585568718543,0.0502898825565326,-0.904379374119231,0.794847996313043,0.0191710252041847,-0.773914617518334,0.35817154639478,0.196353802280995,-0.483554277650977,3.59605571944783,0.322520107960831,1.11441606822687,-0.0705729849445343,0.324395120116759,0.0157459975270823,0.170821792628852
"HALLMARK_COAGULATION",-1.10543942449992,-0.0498308707943206,0.213717816674001,0.0809630522640794,-0.0495556112745388,1.71528833769963,-0.0451920408328117,-2.62591788787677,1.30841220825151,-0.223861161441163,1.02896073916925,-3.10544239128625,-1.44237868676218,3.87234593022558,1.0689924742365,0.050388025740245,1.01350105112275,0.01930149989857,0.809410826112183,0.741481673161006,-0.108313358075076,-0.487304904146941,-0.33471939341528,-3.23497475215796,-0.00812451874140816,-0.156138319122345,-0.1990426782986,0.0165591064602336,1.48590537967216,0.918202413225453,-0.483688381543405,0.0108346143832388,0.0787541042505229,-0.117422841488087,0.557601867056409,0.259345382755169,-0.301913245550996,-0.472035188663217,0.137540134067103,0.336866100220886,0.0823087771870092,0.257943262914175,-0.0980689419268257,-0.0925597432706414,-0.498176887513786,-2.38532071054727,0.362012030264093,0.06478649851701,-2.51489258296799,0.128996521582526,-0.0227816841327947,-0.52729503695633,-0.611644517038055,-0.090094199494473,0.43637856725917,0.758596007138618,0.157540443220821,1.37444349327849,0.0211601810681039,-0.030020643553327,0.794847996313043,1.26601673807069,-0.671664885620124,1.15047164014098,0.00820421507659138,0.606664639377088,2.46023963809064,0.0442735368558635,0.721052592562263,-0.0222497865559188,-0.699720652343962,-0.0030573975102723,1.19531916664923
